Unix Timestamp (UTC),Setpoint (sccm),Measured Value (sccm),Temperature (C),Device Status
1751371545.723089,0.0,0.007799998857080936,29.760000228881836,0
1751371545.723089,0.0,0.007999999448657036,29.760000228881836,0
1751371545.852,0.0,0.005400000140070915,29.760000228881836,0
1751371546.011725,0.0,0.006999999284744263,29.760000228881836,0
1751371546.156169,0.0,0.006999999284744263,29.639999389648438,0
1751371546.300279,0.0,0.008200000040233135,29.760000228881836,0
1751371546.460338,0.0,0.004999999422580004,29.760000228881836,0
1751371546.620021,0.0,0.01119999960064888,29.639999389648438,0
1751371546.763682,0.0,0.007799999788403511,29.639999389648438,0
1751371546.923817,0.0,0.0074000004678964615,29.760000228881836,0
1751371547.084167,0.0,0.010199999436736107,29.639999389648438,0
1751371547.227578,0.0,0.00800000037997961,29.760000228881836,0
1751371547.370952,0.0,0.010400000959634781,29.639999389648438,0
1751371547.515156,0.0,0.009799999184906483,29.760000228881836,0
1751371547.675533,0.0,0.00860000029206276,29.760000228881836,0
1751371547.819185,0.0,0.009399999864399433,29.639999389648438,0
1751371547.962575,0.0,0.0021999997552484274,29.639999389648438,0
1751371548.10699,0.0,0.009199999272823334,29.760000228881836,0
1751371548.266417,0.0,0.006800000090152025,29.760000228881836,0
1751371548.410134,0.0,0.007599998731166124,29.760000228881836,0
1751371548.554702,0.0,0.005799999926239252,29.639999389648438,0
1751371548.69867,0.0,0.00559999980032444,29.760000228881836,0
1751371548.858676,0.0,0.01100000087171793,29.760000228881836,0
1751371549.017917,0.0,0.007999999448657036,29.639999389648438,0
1751371549.161846,0.0,0.00860000029206276,29.760000228881836,0
1751371549.305935,0.0,0.006999999284744263,29.760000228881836,0
1751371549.466108,0.0,0.0036000001709908247,29.760000228881836,0
1751371549.609844,0.0,0.004000000189989805,29.639999389648438,0
1751371549.753728,0.0,0.005400000140070915,29.760000228881836,0
1751371549.913924,0.0,0.006399999838322401,29.760000228881836,0
1751371550.073334,0.0,0.00879999902099371,29.760000228881836,0
1751371550.217594,0.0,0.005000000353902578,29.639999389648438,0
1751371550.361991,0.0,0.006000000052154064,29.760000228881836,0
1751371550.521297,0.0,0.009799999184906483,29.639999389648438,0
1751371550.68157,0.0,0.008200000040233135,29.760000228881836,0
1751371550.826454,0.0,0.010600000619888306,29.639999389648438,0
1751371550.969006,0.0,0.009799999184906483,29.639999389648438,0
1751371551.112271,0.0,0.010199999436736107,29.760000228881836,0
1751371551.27291,0.0,0.007600001059472561,29.639999389648438,0
1751371551.432982,0.0,0.009000000543892384,29.760000228881836,0
1751371551.576371,0.0,0.007799999788403511,29.639999389648438,0
1751371551.720424,0.0,0.008999999612569809,29.639999389648438,0
1751371551.864061,0.0,0.012399999424815178,29.760000228881836,0
1751371552.025054,0.0,0.006199999712407589,29.639999389648438,0
1751371552.184258,0.0,0.011999998241662979,29.760000228881836,0
1751371552.328364,0.0,0.006199999712407589,29.639999389648438,0
1751371552.471913,0.0,0.008799999952316284,29.760000228881836,0
1751371552.631855,0.0,0.009000000543892384,29.760000228881836,0
1751371552.791404,0.0,0.009599998593330383,29.760000228881836,0
1751371552.936018,0.0,0.007999999448657036,29.760000228881836,0
1751371553.079162,0.0,0.007599999662488699,29.760000228881836,0
1751371553.223142,0.0,0.009800000116229057,29.639999389648438,0
